,Tweets
9331,"More &amp; better mental health support needed in GP surgeries, say ⁦@TheKingsFund⁩ ⁦@CentreforMH⁩ today. Delighted to share this new report we’ve been working on with ⁦@BeccyA⁩ ⁦@chrisbnaylor⁩ ⁦@helengilburt⁩ ⁦@AbiHeller⁩  https://t.co/K9aYWIkeWn"
9332,"“I have not been invited so far. Lord Rama should bless us and Delhiites. Will pray Lord Rama to save us from this pandemic,” CM @ArvindKejriwal 

18000 प्रति माह कटुओं को वेतन देने वाले कमीने तू है कौन?"
9333,"lowkey cackling the entire fandom had a meltdown and was in denial — but chris evans really flew all the way to london in a pandemic for some v. 

idc what anyone has to say. 
don’t @ me"
9334,"Sociopath: “a person with a personality disorder manifesting itself in extreme antisocial attitudes and behavior and a lack of conscience.”

What kind of man, amid a deadly pandemic, decides the best thing is to send federal thugs into American cities &amp; further inflame conflict?"
9335,"In March, I argued the Tokyo #Olympics should be canceled. Although it gives me no pleasure to say that to athletes, I stand by that today. Amid a pandemic, it would be wildly irresponsible for the Games to go on. @nytopinion https://t.co/ksTwIRM2qq"
9336,"@staatsgeheim Carpe diem! Seize the day, boys. Make your lives extraordinary due to the pandemic

A dead poet's society. Love it."
9337,Tell Senators to increase federal match to states in the pandemic bill they're working on #ProtectMedicaid ! https://t.co/hrrOJIMfTJ
9338,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9339,"Do you know?

Since 1867, Canada has welcomed over 19.5 million immigrants.

Canada was planning to welcome more than one million new immigrants over the next three years before the pandemic.

Yet Canada remains committed to high levels of immigration.  - cicnews

#LivingInCanada https://t.co/UqHsXJfUV7"
9340,"Even in the midst of a pandemic and economic crisis, Chairman Nadler and the Judiciary Committee Democrats are wasting critical time to take shameless political jabs at @realDonaldTrump and his administration. Enough is enough! https://t.co/SJrzgbcO1K"
9341,"@IvankaTrump 
Plz help this child 
She is problam in covid19
Pandemic she's father 
Job less in this time https://t.co/I8kzljh39Q"
9342,BREAKING NEWS: A federal judge has confirmed that the plot to imprison Michael Cohen during the pandemic to keep him from publishing a tell-all book about the president before the 2020 election was just what we thought it was. The odds of the book's publication just skyrocketed. https://t.co/L8YzWUVGMM
9343,Has the COVID-19 pandemic inspired you to dust off your old bike to get some distanced exercise? @sfbike offers lots of courses (online and in-person) on bike maintenance and safe riding to help get you rolling. https://t.co/qNSxdNYg0q
9344,"During this pandemic, what's your spending like? 
Do you have a budget? 
How easy/difficult is it to follow it?"
9345,"The lineup for the 2020 @WritersFestYGK has been announced!
The festival is taking place online this year due to the pandemic, and some interesting free, online pre-festival programming kicked off yesterday. #ygk 
Details here:

https://t.co/VzW0rPb2zx"
9346,What is CRA's role in the ongoing pandemic response? Some of the answers might surprise you. Our president @brianfindCRA goes into detail for @ABABankers: https://t.co/zM0McDmeMs https://t.co/gcmqTEUBL5
9347,"Charities first started warning Covid-19 would be a financial catastrophe for the sector in March. Reporting across the pandemic &amp; the laissez-faire response of govt has been like watching a slow-motion car crash that is just now starting to hit the wall [THREAD]
#NeverMoreNeeded"
9348,"@BeckyJohnson222 @dad_liams Dr Suzzane Humphries explains, ""there is plenty of medical literature &amp; epidemiologic evidence that if you've taken an influenza vaccine on yr 1 that your risk of contracting on yr 2 is higher, your risk of getting a pandemic strain is higher &amp; your risk of shedding &amp; (cont'd)"
9349,"Surge in single-use PPE feeds ‘toxic’ pandemic waste crisis | Financial Times 
 https://t.co/klT750kGXQ"
9350,Corruption is the real pandemic Cupcake. The only pandemic we need to overcome.🤷🏼‍♀️
9351,"Before the coronavirus pandemic, a ventilator was intended primarily for short-term use. People usually come off them quickly, one way or another: able to breathe again for themselves, or gone. Larry Kelly was on one for 51 days. https://t.co/QjcKg58zy2"
9352,"@BCFerrys “I’m also just a girl, standing in front of a boy asking him to love her due to the pandemic “ https://t.co/sGsMoTeEHJ"
9353,"Three months ago we believed a shutdown would allow us to get on top of the pandemic in Australia.
It worked. But when victory was in sight, the LNP govt pressured states to open up schools, restart the economy.
So we did. 
And now we're dying.
#elimination2020
#COVID19Vic"
9354,"If you want a front row seat to the inequality in our justice system, hundreds of Black Americans are jailed on Rikers Island during a pandemic just because they can't afford to pay bail.

Meanwhile, judges can't wait to keep releasing Michael Cohen https://t.co/tFf25POwi1"
9355,"With dysfunctional health infrastructure Bihar is struggling to deal with this pandemic.

In Bihar healthcare systems have already crumbled &amp; hospitals are refusing to admit patients.

People are running from one hospital to another,just to get a test done
https://t.co/h3Iky99Mz6"
9356,"An 84 year old woman having to do physical labor as a housekeeper in the middle of a pandemic is not my kind of pick me up story. It's an indictment on our society, values and how little we care for our elders. https://t.co/uTvQclY0JI"
9357,"#COVID19SA | ""My fellow South Africans, I wish to address you this evening on two matters that are of great interest and concern to South Africans as we struggle to overcome the coronavirus pandemic."" - President @CyrilRamaphosa 
 #StaySafe #CoronaVirusSA https://t.co/obMB9ZebHO"
9358,"Visiting Hawaii is NOT a good idea during a pandemic.

Again, I repeat:
Visiting Hawaii is NOT a good idea during a pandemic."
9359,these “pandemic weeks” seem longer than “pre-pandemic” weeks
9360,No offense to the president but him having faith we’ll beat the pandemic gives no assurances #ramaphosa #cyrilramaphosa
9361,"@DrDenaGrayson @GovRonDeSantis @realDonaldTrump Vote him out, then arrest him for criminally negligent homicide and dereliction of duty by utterly failing to protect the citizens of Florida from a deadly pandemic for partisan political reasons! This needs to be done top to bottom with trumplican officeholders."
9362,I don't know if to them they think this makes sense. The Gr 3-5s have been home since March. The way they are approaching this makes you realise they are simple in their outlook of this pandemic. https://t.co/A75Sywq5WP
9363,This pandemic got y’all pocket watching everybody and ion like that 🤣.
9364,"#عیدپراحتیاط
You don't need to do fancy festivity during pandemic
@Team4Pakistan @MahnoorPK_ https://t.co/T3SP0ytmcE"
9365,I was doing so good with working out and eating healthy until the pandemic came along and fricked up my routine): I got in to unhealthy habits again but I continued to lose weight and now I’m getting chubbs again /:
9366,@JulesO7 I’m honestly sitting here thinking what is my next steps like during a pandemic is even worst because you feel like wtf i don’t know what to do next. Having post grad depression is the worst because you feel like you failing yourself. But we going get thru it
9367,@donald9fifty @MCambsl Ang cute nung baby may nunal din but infairness MAGANDA IDEA yn may kasama cla baby kya lng hnd pede s true to life may pandemic. Sayang😝✌🏻 #ALDUB262ndWeeksary
9368,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9369,@CoreyVersho @Ross78608581 @JRehling @RudyGiuliani In a pandemic lol. You are a smart one☝️🤣
9370,".@RepRaulGrijalva, please pass an extension to the #PayrollSupportProgram through March 31 to ensure #pilots and #frontline workers keep their jobs and support the economy through this pandemic!"
9371,@PresidencyZA @CyrilRamaphosa This pandemic was a saving grace...
9372,"Lockdown and leadership chaos - some of us have been saying this for four months
https://t.co/rJFTJ30ZHW https://t.co/3impGntUdy"
9373,"My company https://t.co/gVCmBPKKcM doing it's part during the pandemic from it's Catering and events subsidiary company. Making sure the homeless are fed for https://t.co/2YNkwKr4rx, lunch and supper. Over 500 people we feeding in the City of Tshwane regions. https://t.co/CAx0q9VE2y"
9374,"Welp, I looked it up.  In the middle of a once in a century pandemic where the US has far more deaths than any other country and unemployment is sky high, POTUS decides the states are just fine dealing with the pandemic, but need the feds policing black neighborhoods https://t.co/8NcP31QK0m"
